,date,adj_close,close,high,low,open,volume,symbol
2480,2024-11-08,587.6587524414062,598.1900024414062,599.6400146484375,596.1699829101562,596.1699829101562,46444900,SPY
2481,2024-11-11,588.2186279296875,598.760009765625,600.1699829101562,597.0,599.8099975585938,37586800,SPY
2482,2024-11-12,586.3914794921875,596.9000244140625,599.2899780273438,594.3699951171875,598.6799926757812,43006100,SPY
2483,2024-11-13,586.6763305664062,597.1900024414062,599.22998046875,594.9600219726562,597.3699951171875,47388600,SPY
2484,2024-11-14,582.9039916992188,593.3499755859375,597.8099975585938,592.6500244140625,597.3200073242188,38904100,SPY
2485,2024-11-15,575.437744140625,585.75,590.2000122070312,583.8599853515625,589.719970703125,75988800,SPY
2486,2024-11-18,577.79541015625,588.1500244140625,589.489990234375,585.3400268554688,586.219970703125,37001700,SPY
2487,2024-11-19,579.9075927734375,590.2999877929688,591.0399780273438,584.030029296875,584.7100219726562,49412000,SPY
2488,2024-11-20,580.10400390625,590.5,590.7899780273438,584.6300048828125,590.3800048828125,50032600,SPY
2489,2024-11-21,583.21826171875,593.6699829101562,595.1199951171875,587.4500122070312,593.4000244140625,46750300,SPY
2490,2024-11-22,585.02587890625,595.510009765625,596.1500244140625,593.1500244140625,593.6599731445312,38226400,SPY
2491,2024-11-25,587.0103759765625,597.530029296875,600.8599853515625,595.2000122070312,599.52001953125,42441400,SPY
2492,2024-11-26,590.075439453125,600.6500244140625,601.3300170898438,598.0700073242188,598.7999877929688,45621300,SPY
2493,2024-11-27,588.2874755859375,598.8300170898438,600.8499755859375,597.280029296875,600.4600219726562,34000200,SPY
2494,2024-11-29,591.9419555664062,602.5499877929688,603.3499755859375,599.3800048828125,599.6599731445312,30177400,SPY
2495,2024-12-02,593.0030517578125,603.6300048828125,604.3200073242188,602.469970703125,602.969970703125,31746000,SPY
2496,2024-12-03,593.2779541015625,603.9099731445312,604.1599731445312,602.3400268554688,603.3900146484375,26906600,SPY
2497,2024-12-04,596.9619750976562,607.6599731445312,607.9099731445312,604.9500122070312,605.6300048828125,42787600,SPY
2498,2024-12-05,595.9795532226562,606.6599731445312,608.47998046875,606.2999877929688,607.6599731445312,28762200,SPY
2499,2024-12-06,597.1093139648438,607.8099975585938,609.0700073242188,607.02001953125,607.4400024414062,31241500,SPY
2500,2024-12-09,594.034423828125,604.6799926757812,607.8599853515625,604.0800170898438,607.6900024414062,34742700,SPY
2501,2024-12-10,592.1875,602.7999877929688,605.7999877929688,602.1300048828125,605.3699951171875,37234500,SPY
2502,2024-12-11,596.7655639648438,607.4600219726562,608.4299926757812,605.5,605.780029296875,28677700,SPY
2503,2024-12-12,593.690673828125,604.3300170898438,607.1599731445312,604.3300170898438,606.5800170898438,31543800,SPY
